sector,sector_description,sic07_division_group,sic07_division_group_description,itrc_sector,itrc_sector_description,is_knowledge_based,sic07_division,sic07_division_description
AB,"Agriculture, forestry and fishing; mining and quarrying",1 to 9,"Agriculture, forestry and fishing; mining and quarrying",1,Agriculture etc,0,1,"Crop and animal production, hunting and related service activities"
AB,"Agriculture, forestry and fishing; mining and quarrying",1 to 9,"Agriculture, forestry and fishing; mining and quarrying",1,Agriculture etc,0,2,Forestry and logging
AB,"Agriculture, forestry and fishing; mining and quarrying",1 to 9,"Agriculture, forestry and fishing; mining and quarrying",1,Agriculture etc,0,3,Fishing and aquaculture
AB,"Agriculture, forestry and fishing; mining and quarrying",1 to 9,"Agriculture, forestry and fishing; mining and quarrying",2,Mining & quarrying,0,5,Mining of coal and lignite
AB,"Agriculture, forestry and fishing; mining and quarrying",1 to 9,"Agriculture, forestry and fishing; mining and quarrying",2,Mining & quarrying,0,6,Extraction of crude petroleum and natural gas
AB,"Agriculture, forestry and fishing; mining and quarrying",1 to 9,"Agriculture, forestry and fishing; mining and quarrying",2,Mining & quarrying,0,7,Mining of metal ores
AB,"Agriculture, forestry and fishing; mining and quarrying",1 to 9,"Agriculture, forestry and fishing; mining and quarrying",2,Mining & quarrying,0,8,Other mining and quarrying
AB,"Agriculture, forestry and fishing; mining and quarrying",1 to 9,"Agriculture, forestry and fishing; mining and quarrying",2,Mining & quarrying,0,9,Mining support service activities
C,Manufacturing,10 to 12,"Manufacture of food, beverages and tobacco",3,"Food, drink & tobacco",0,10,Manufacture of food products
C,Manufacturing,10 to 12,"Manufacture of food, beverages and tobacco",3,"Food, drink & tobacco",0,11,Manufacture of beverages
C,Manufacturing,10 to 12,"Manufacture of food, beverages and tobacco",3,"Food, drink & tobacco",0,12,Manufacture of tobacco products
C,Manufacturing,13 to 15,"Manufacture of textiles, wearing apparel and leather",4,Textiles etc,0,13,Manufacture of textiles
C,Manufacturing,13 to 15,"Manufacture of textiles, wearing apparel and leather",4,Textiles etc,0,14,Manufacture of wearing apparel
C,Manufacturing,13 to 15,"Manufacture of textiles, wearing apparel and leather",4,Textiles etc,0,15,Manufacture of leather and related products
C,Manufacturing,16 to 18,Manufacture of wood and paper products and printing,5,Wood & paper,0,16,"Manufacture of wood and of products of wood and cork, except furniture;manufacture of articles of straw and plaiting materials"
C,Manufacturing,16 to 18,Manufacture of wood and paper products and printing,5,Wood & paper,0,17,Manufacture of paper and paper products
C,Manufacturing,16 to 18,Manufacture of wood and paper products and printing,6,Printing & recording,0,18,Printing and reproduction of recorded media
C,Manufacturing,19 to 23,"Manufacture of petroleum, chemicals and other minerals",7,Coke & petroleum,0,19,Manufacture of coke and refined petroleum products
C,Manufacturing,19 to 23,"Manufacture of petroleum, chemicals and other minerals",8,"Chemicals, etc",0,20,Manufacture of chemicals and chemical products
C,Manufacturing,19 to 23,"Manufacture of petroleum, chemicals and other minerals",9,Pharmaceuticals,0,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations
C,Manufacturing,19 to 23,"Manufacture of petroleum, chemicals and other minerals",10,Non-metallic min. prods.,0,22,Manufacture of rubber and plastic products
C,Manufacturing,19 to 23,"Manufacture of petroleum, chemicals and other minerals",10,Non-metallic min. prods.,0,23,Manufacture of other non-metallic mineral products
C,Manufacturing,24 to 25,Manufacture of basic and fabricated metal products,11,Metals & metal prods.,0,24,Manufacture of basic metals
C,Manufacturing,24 to 25,Manufacture of basic and fabricated metal products,11,Metals & metal prods.,0,25,"Manufacture of fabricated metal products, except machinery and equipment"
C,Manufacturing,26 to 27,"Manufacture of electronic, optical and electrical products",12,Electronics,1,26,"Manufacture of computer, electronic and optical products"
C,Manufacturing,26 to 27,"Manufacture of electronic, optical and electrical products",13,Electrical equipment,1,27,Manufacture of electrical equipment
C,Manufacturing,28 to 30,Manufacture of machinery and transport equipment,14,Machinery etc,1,28,Manufacture of machinery and equipment n.e.c.
C,Manufacturing,28 to 30,Manufacture of machinery and transport equipment,15,Motor vehicles etc,1,29,"Manufacture of motor vehicles, trailers and semi-trailers"
C,Manufacturing,28 to 30,Manufacture of machinery and transport equipment,16,Other trans. equipment,1,30,Manufacture of other transport equipment
C,Manufacturing,31 to 33,"Other manufacturing, repair and installation",17,Other manuf. & repair,1,31,Manufacture of furniture
C,Manufacturing,31 to 33,"Other manufacturing, repair and installation",17,Other manuf. & repair,1,32,Other manufacturing
C,Manufacturing,31 to 33,"Other manufacturing, repair and installation",17,Other manuf. & repair,1,33,Repair and installation of machinery and equipment
DE,"Electricity, gas, water; sewerage and waste management",35 to 39,"Electricity, gas, water; sewerage and waste management",18,Electricity & gas,0,35,"Electricity, gas, steam and air conditioning supply"
DE,"Electricity, gas, water; sewerage and waste management",35 to 39,"Electricity, gas, water; sewerage and waste management",19,"Water, sewerage & waste",0,36,"Water collection, treatment and supply"
DE,"Electricity, gas, water; sewerage and waste management",35 to 39,"Electricity, gas, water; sewerage and waste management",19,"Water, sewerage & waste",0,37,Sewerage
